run_alias,_timestamp,_runtime,gpu_0_sm_active,gpu_1_sm_active,gpu_2_sm_active,gpu_3_sm_active,gpu_4_sm_active,gpu_5_sm_active,gpu_6_sm_active,gpu_7_sm_active,gpu_0_power_watts,gpu_1_power_watts,gpu_2_power_watts,gpu_3_power_watts,gpu_4_power_watts,gpu_5_power_watts,gpu_6_power_watts,gpu_7_power_watts
streamweave,1783610331.7830734,3302.600617519,74.97608726492395,62.004845831127334,68.55407521653176,66.01007211210673,69.08066701959442,67.07411580611625,66.38717271403868,66.66290232530741,909.622,904.464,582.797,569.764,604.479,564.671,555.73,561.835
streamweave,1783610346.582023,3317.399566917,,,,,,,,,,,,,,,,
streamweave,1783610346.782394,3317.599938042,91.06410076553456,81.68632259539392,76.31511073093913,75.24351639728742,70.40500214941927,72.58418065090623,74.81683460894038,69.44094794635582,909.158,902.706,667.85,666.339,673.933,670.693,674.34,667.289
streamweave,1783610361.5826077,3332.400151676,,,,,,,,,,,,,,,,
streamweave,1783610361.783048,3332.600591914,91.86861805017172,89.7927602582652,72.37980124894413,74.49283787830213,72.47843114571815,70.64333495871995,73.97634661347965,73.21143205303792,913.578,887.261,629.569,648.852,661.386,629.283,638.394,652.407
streamweave,1783610376.5822337,3347.399777686,,,,,,,,,,,,,,,,
streamweave,1783610376.7826726,3347.600216631,41.013531672012896,37.39090217785996,66.12993804085968,67.32036665470615,67.21493523339515,63.41322215776967,65.19179445750048,67.82249765962682,250.12,245.902,534.995,557.632,559.66,532.615,536.625,567.75
streamweave,1783610391.5823853,3362.399929369,,,,,,,,,,,,,,,,
streamweave,1783610391.7827094,3362.600253251,93.15735213516666,90.35400475069173,69.79584697892722,70.97216372722164,72.90006174434673,71.6326124110909,72.41139986980009,72.5541576246507,916.171,912.04,656.048,661.633,664.516,668.604,664.257,675.637
streamweave,1783610406.5828247,3377.400368642,,,,,,,,,,,,,,,,
streamweave,1783610406.7830777,3377.600621719,90.84153223370845,88.8218862170175,75.15479962476005,76.802843569676,74.56666505600553,74.4894754579141,76.17963689244367,71.08264080414976,883.785,895.364,661.721,673.442,673.674,677.999,661.92,670.142
streamweave,1783610421.5826118,3392.400155839,,,,,,,,,,,,,,,,
streamweave,1783610421.7830088,3392.600552761,87.65802444163711,84.36474465434804,67.4690210704961,60.287469307012366,65.71156133483959,66.87535366264696,63.31961870454514,66.25453693803497,576.835,564.166,557.397,510.167,545.13,556.847,534.627,550.695
streamweave,1783610436.581872,3407.399415972,,,,,,,,,,,,,,,,
streamweave,1783610436.7821596,3407.599703491,0,0,0,0,0,0,0,0,665.254,644.674,240.322,240.382,245.082,243.431,240.339,242.524
streamweave,1783610451.5826807,3422.40022465,,,,,,,,,,,,,,,,
streamweave,1783610451.7829769,3422.600520812,91.2386543708596,89.15087166265799,70.50663953386304,71.37912459660865,70.36000620394938,70.52011137962292,70.44795323740773,74.87543427725906,899.073,882.091,640.36,657.967,663.752,663.717,656.289,662.233
streamweave,1783610466.5826714,3437.400215431,,,,,,,,,,,,,,,,
streamweave,1783610466.7831125,3437.600656491,92.41704162344149,90.73734998723975,76.05612249200146,76.61398388029207,76.17614313651703,75.04082230460156,76.25544855735372,75.05516582057146,582.007,585.988,672.138,674.583,686.034,679.262,683.787,668.205
streamweave,1783610481.582623,3452.400167014,,,,,,,,,,,,,,,,
streamweave,1783610481.7829726,3452.600516647,90.01532711039413,90.23368017559102,66.95088884142446,67.39607498846559,63.80859144932186,64.73976676529824,66.91717843031901,66.96888498680158,933.377,901.917,569.624,574.343,532.11,543.942,574.76,583.359
streamweave,1783610496.5824468,3467.399990756,,,,,,,,,,,,,,,,
streamweave,1783610496.7839527,3467.601496792,91.17919638087652,88.78840648824868,73.9122774967509,72.08944288296561,73.35334948528914,75.8989931557679,73.8819795551914,71.70543519481733,705.214,711.018,653.186,657.752,671.186,669.601,657.432,660.31
streamweave,1783610511.5825975,3482.400141424,,,,,,,,,,,,,,,,
streamweave,1783610511.7830045,3482.600548562,85.11979497707067,88.83583391358705,38.951153156210864,56.08971887584325,55.42283276510152,57.01298544088177,58.08051773329337,55.24560573011497,897.484,884.297,519.381,533.025,535.67,547.396,534.225,538.943
streamweave,1783610526.5827997,3497.400343644,,,,,,,,,,,,,,,,
streamweave,1783610526.7831554,3497.600699495,88.72390934128852,88.96363836926812,65.44745906248764,67.14117432922886,66.54314244892821,66.3573410196935,65.81357647519555,65.46906675098325,900.291,876.779,570.16,563.073,572.947,573.148,572.21,565.865
streamweave,1783610541.5827935,3512.400337403,,,,,,,,,,,,,,,,
streamweave,1783610541.7831907,3512.600734696,31.297343871089556,35.14818113052294,74.13057598301144,75.8616793090728,74.46663045501477,75.69820182665012,75.26034233808511,75.24211964465405,906.86,909.545,660.48,670.831,675.85,676.641,670.271,676.594
streamweave,1783610556.5828335,3527.400377522,,,,,,,,,,,,,,,,
streamweave,1783610556.7830827,3527.600626703,51.214163995325215,54.110305765358966,66.73992340001888,64.94538934406118,65.29670730039895,66.21804080466984,64.54410069105643,56.018647680568975,862.981,851.562,552.978,531.229,543.961,549.918,530.29,514.664
streamweave,1783610571.5819802,3542.399524232,,,,,,,,,,,,,,,,
streamweave,1783610571.7824092,3542.599953089,0,0,73.04004272657643,67.54184889700608,69.56950994425618,72.7622740946234,71.38073059438241,72.11688102433506,247.392,244.14,703.96,712.609,718.587,725.297,712.666,722.388
streamweave,1783610586.5824883,3557.400032286,,,,,,,,,,,,,,,,
streamweave,1783610586.7827806,3557.600324759,0,0,65.85533338340333,69.7061363440081,70.356043606058,68.32012751622095,67.7144365767326,70.55269306643014,246.168,242.855,574.311,587.491,613.283,567.748,568.538,621.37
streamweave,1783610601.5828338,3572.400377857,,,,,,,,,,,,,,,,
streamweave,1783610601.783243,3572.600787005,0,0,0,68.94083554867494,67.35740651507965,0,0,68.38609303767436,245.82,242.474,367.803,590.984,588.408,244.493,242.385,598.895
streamweave,1783610616.5820105,3587.399554473,,,,,,,,,,,,,,,,
streamweave,1783610616.80186,3587.619404126,0,0,88.1373482396837,87.58907423115899,87.08014388445905,87.53585690968052,87.28354004806198,88.83391858758952,245.578,242.146,605.681,809.935,830.372,821.226,797.942,834.762
streamweave,1783610631.5826101,3602.4001541,,,,,,,,,,,,,,,,
streamweave,1783610631.7829833,3602.600527315,0,0,67.67704236306513,71.66310731443684,67.13773082130076,67.6918717200963,66.21798609565276,67.14503870100921,245.219,241.897,560.859,597.107,598.747,578.798,572.536,561.095
streamweave,1783610646.582613,3617.400157094,,,,,,,,,,,,,,,,
streamweave,1783610646.7830822,3617.600626184,0,0,0,0,0,0,0,0,245.179,241.875,240.537,241.679,246.564,243.946,241.322,242.707
streamweave,1783610661.5820787,3632.399622593,,,,,,,,,,,,,,,,
streamweave,1783610661.7825277,3632.600071672,0,0,83.99634658513028,83.89640044405179,82.18580647963363,86.45090878802365,82.87001065459361,87.26420365623436,245.053,241.614,792.321,829.289,804.825,830.676,828.136,849.696
streamweave,1783610676.5819204,3647.399464346,,,,,,,,,,,,,,,,
streamweave,1783610676.782328,3647.599871803,0,0,70.00173686013916,70.34724300458173,73.77189586874137,70.82011404587372,70.4842918611227,69.46687519641782,244.97,241.624,606.02,621.0,673.807,635.025,621.06,623.186
